Point: (1.0,1.0)
(2.0,3.0) 2.23606797749979
(4.0,5.0) 5.0
(6.0,4.0) 5.830951894845301
(3.0,2.0) 2.23606797749979
(2.0,3.0) 2.23606797749979
(-2.0,3.0) 3.605551275463989
(4.0,-3.0) 5.0
(1.2,3.9) 2.9068883707497264
Point: (4.0,5.0)
(2.0,3.0) 2.8284271247461903
(6.0,4.0) 2.23606797749979
(3.0,2.0) 3.1622776601683795
(2.0,3.0) 2.8284271247461903
(-2.0,3.0) 6.324555320336759
(4.0,-3.0) 8.0
(1.2,3.9) 3.0083217912982647
(12.3,3.32) 8.46831742437658
Point: (3.0,2.0)
(2.0,3.0) 1.4142135623730951
(6.0,4.0) 3.605551275463989
(2.0,3.0) 1.4142135623730951
(-2.0,3.0) 5.0990195135927845
(4.0,-3.0) 5.0990195135927845
(1.2,3.9) 2.6172504656604803
(12.3,3.32) 9.393210313838395
Point: (-2.0,3.0)
(2.0,3.0) 4.0
(6.0,4.0) 8.06225774829855
(2.0,3.0) 4.0
(4.0,-3.0) 8.48528137423857
(1.2,3.9) 3.3241540277189325
Point: (23.2,32.3)
Point: (12.3,3.32)
(6.0,4.0) 6.336592144047146
